Rank,ResumeID,Score,Query
493,R001995,1,"sql"
494,R001998,1,"sql"
495,R002005,1,"sql"
496,R002011,1,"sql"
497,R002014,1,"sql"
498,R002015,1,"sql"
499,R002021,1,"sql"
500,R002024,1,"sql"
501,R002026,1,"sql"
502,R002027,1,"sql"
503,R002031,1,"sql"
504,R002039,1,"sql"
505,R002044,1,"sql"
506,R002045,1,"sql"
507,R002047,1,"sql"
508,R002049,1,"sql"
509,R002062,1,"sql"
510,R002066,1,"sql"
511,R002074,1,"sql"
512,R002080,1,"sql"
513,R002088,1,"sql"
514,R002089,1,"sql"
515,R002091,1,"sql"
516,R002100,1,"sql"
517,R002102,1,"sql"
518,R002107,1,"sql"
519,R002109,1,"sql"
520,R002110,1,"sql"
521,R002111,1,"sql"
522,R002114,1,"sql"
523,R002116,1,"sql"
524,R002117,1,"sql"
525,R002119,1,"sql"
526,R002120,1,"sql"
527,R002123,1,"sql"
528,R002126,1,"sql"
529,R002129,1,"sql"
530,R002130,1,"sql"
531,R002134,1,"sql"
532,R002137,1,"sql"
533,R002138,1,"sql"
534,R002139,1,"sql"
535,R002140,1,"sql"
536,R002141,1,"sql"
537,R002148,1,"sql"
538,R002149,1,"sql"
539,R002164,1,"sql"
540,R002169,1,"sql"
541,R002170,1,"sql"
542,R002173,1,"sql"
543,R002191,1,"sql"
544,R002198,1,"sql"
545,R002204,1,"sql"
546,R002216,1,"sql"
547,R002217,1,"sql"
548,R002221,1,"sql"
549,R002229,1,"sql"
550,R002230,1,"sql"
551,R002236,1,"sql"
552,R002238,1,"sql"
553,R002253,1,"sql"
554,R002254,1,"sql"
555,R002255,1,"sql"
556,R002262,1,"sql"
557,R002272,1,"sql"
558,R002276,1,"sql"
559,R002279,1,"sql"
560,R002282,1,"sql"
561,R002283,1,"sql"
562,R002286,1,"sql"
563,R002287,1,"sql"
564,R002289,1,"sql"
565,R002296,1,"sql"
566,R002307,1,"sql"
567,R002314,1,"sql"
568,R002316,1,"sql"
569,R002321,1,"sql"
570,R002327,1,"sql"
571,R002344,1,"sql"
572,R002346,1,"sql"
573,R002347,1,"sql"
574,R002354,1,"sql"
575,R002355,1,"sql"
576,R002360,1,"sql"
577,R002361,1,"sql"
578,R002363,1,"sql"
579,R002365,1,"sql"
580,R002372,1,"sql"
581,R002373,1,"sql"
582,R002374,1,"sql"
583,R002382,1,"sql"
584,R002383,1,"sql"
585,R002387,1,"sql"
586,R002392,1,"sql"
587,R002398,1,"sql"
588,R002399,1,"sql"
589,R002404,1,"sql"
590,R002405,1,"sql"
591,R002407,1,"sql"
592,R002411,1,"sql"
593,R002414,1,"sql"
594,R002415,1,"sql"
595,R002416,1,"sql"
596,R002421,1,"sql"
597,R002425,1,"sql"
598,R002439,1,"sql"
599,R002448,1,"sql"
600,R002451,1,"sql"
601,R002457,1,"sql"
602,R002460,1,"sql"
603,R002464,1,"sql"
604,R002466,1,"sql"
605,R002467,1,"sql"
606,R002468,1,"sql"
607,R002472,1,"sql"
608,R002474,1,"sql"
609,R002476,1,"sql"
610,R002477,1,"sql"
611,R002482,1,"sql"
612,R002487,1,"sql"
613,R002499,1,"sql"
614,R002503,1,"sql"
615,R002506,1,"sql"
616,R002507,1,"sql"
617,R002513,1,"sql"
618,R002517,1,"sql"
619,R002519,1,"sql"
620,R002520,1,"sql"
621,R002523,1,"sql"
622,R002524,1,"sql"
623,R002531,1,"sql"
624,R002532,1,"sql"
625,R002534,1,"sql"
626,R002536,1,"sql"
627,R002537,1,"sql"
628,R002543,1,"sql"
629,R002544,1,"sql"
630,R002547,1,"sql"
631,R002549,1,"sql"
632,R002550,1,"sql"
633,R002552,1,"sql"
634,R002557,1,"sql"
635,R002560,1,"sql"
636,R002565,1,"sql"
637,R002566,1,"sql"
638,R002569,1,"sql"
639,R002573,1,"sql"
640,R002575,1,"sql"
641,R002579,1,"sql"
642,R002586,1,"sql"
643,R002589,1,"sql"
